ID	Hd
10	0.2
10	0.644
10	0.667
10	0.533
10	0.778
10	0.2
10	0.2
10	0.2
10	0.378
10	0.533
10	0.2
10	0.533
10	0.378
10	0.511
10	0.378
10	0.2
10	0.378
10	0.533
10	0.378
10	0.2
10	0.533
10	0.2
10	0.533
10	0.2
10	0.6
10	0.511
10	0.644
10	0.378
10	0.511
10	0.378
10	0.378
10	0
10	0.2
10	0.2
10	0.533
10	0.378
10	0.644
10	0.2
10	0.356
10	0.356
10	0.378
10	0.511
10	0.644
10	0.511
10	0.356
10	0.2
10	0.6
10	0.2
10	0.2
10	0.644
10	0.511
10	0.467
10	0.378
10	0.2
10	0.533
10	0.2
10	0.378
10	0.2
10	0.2
10	0.378
10	0.378
10	0.378
10	0.2
10	0.378
10	0
10	0.533
10	0.2
10	0.778
10	0.356
10	0.644
10	0.2
10	0.622
10	0.378
10	0.2
10	0.378
10	0.533
10	0.378
10	0.2
10	0.511
10	0.378
10	0.778
10	0.533
10	0.378
10	0.2
10	0.667
10	0.533
10	0.356
10	0.2
10	0.378
10	0.533
10	0.378
10	0.378
10	0.533
10	0.511
10	0.644
10	0.356
10	0.667
10	0.533
10	0.378
10	0.511
10	0.733
10	0
10	0.533
10	0.378
10	0.2
10	0
10	0.533
10	0.2
10	0.378
10	0.2
10	0
10	0
10	0.2
10	0.2
10	0.511
10	0.378
10	0
10	0.533
10	0.644
10	0.378
10	0.2
10	0.2
10	0.667
10	0.667
10	0.378
10	0.2
10	0.511
10	0.2
10	0.533
10	0.378
10	0.644
10	0.511
10	0
10	0.2
10	0.2
10	0.378
10	0.667
10	0.533
10	0
10	0.378
10	0.2
10	0.2
10	0
10	0.378
10	0.378
10	0.356
10	0.2
10	0.511
10	0.2
10	0
10	0.689
10	0.378
10	0.667
10	0.2
10	0.2
10	0
10	0.2
10	0
10	0.533
10	0
10	0.2
10	0.511
10	0.378
10	0.2
10	0.356
10	0.378
10	0.2
10	0.378
10	0.356
10	0.6
10	0.2
10	0.378
10	0.378
10	0.2
10	0.533
10	0.533
10	0.2
10	0.2
10	0.378
10	0.2
10	0.378
10	0.378
10	0.533
10	0.2
10	0
10	0.667
10	0.378
10	0.533
10	0.2
10	0.2
10	0.667
10	0.2
10	0.2
10	0.533
10	0.533
10	0.533
10	0
10	0.378
10	0
10	0.378
10	0.511
10	0
10	0
10	0.533
10	0.2
10	0.378
10	0.533
10	0.378
10	0.2
10	0.2
10	0.378
10	0.2
10	0.533
10	0.511
10	0.756
10	0.2
10	0.356
10	0.378
10	0.2
10	0.667
10	0.2
10	0.356
10	0.511
10	0.2
10	0
10	0.378
10	0.533
10	0.378
10	0.511
10	0.378
10	0.667
10	0.378
10	0
10	0
10	0.756
10	0.511
10	0.533
10	0.356
10	0.2
10	0.378
10	0
10	0.378
10	0.667
10	0.378
10	0.378
10	0.378
10	0.533
10	0.2
10	0.356
10	0
10	0.378
10	0.511
10	0.2
10	0.2
10	0.378
10	0.2
10	0.533
10	0.378
10	0.533
10	0.2
10	0
10	0.467
10	0.378
10	0.533
10	0.2
10	0.667
10	0.378
10	0.511
10	0.356
10	0.511
10	0
10	0.2
10	0.378
10	0.378
10	0.2
10	0.711
10	0.2
10	0
10	0.756
10	0.533
10	0
10	0.533
10	0.378
10	0.378
10	0.356
10	0.533
10	0.511
10	0.356
10	0.2
10	0.2
10	0.2
10	0
10	0
10	0.378
10	0.356
10	0.2
10	0.378
10	0.533
10	0
10	0.667
10	0.2
10	0
10	0.756
10	0.378
10	0.2
10	0.533
10	0.378
10	0.2
10	0.644
10	0.533
10	0
10	0.378
10	0.378
10	0.378
10	0.378
10	0.2
10	0.511
10	0.2
10	0.2
10	0.378
10	0.2
10	0.378
10	0
10	0.2
10	0.378
10	0.644
10	0.667
10	0.511
10	0.378
10	0
10	0.378
10	0
10	0.378
10	0.533
10	0.667
10	0.2
10	0.667
10	0.2
10	0
10	0.711
10	0.2
10	0.2
10	0
10	0.2
10	0.2
10	0.778
10	0.533
10	0.378
10	0.533
10	0.533
10	0.2
10	0.533
10	0.511
10	0.378
10	0.2
10	0.533
10	0.533
10	0
10	0.378
10	0.644
10	0.533
10	0.378
10	0.378
10	0.2
10	0.378
10	0.378
10	0.667
10	0
10	0
10	0
10	0.533
10	0.378
10	0.378
10	0.378
10	0.533
10	0.378
10	0.378
10	0.667
10	0
10	0.667
10	0
10	0
10	0.667
10	0.378
10	0
10	0.378
10	0.2
10	0.467
10	0.2
10	0.2
10	0.378
10	0.667
10	0.378
10	0.511
10	0.511
10	0.2
10	0.378
10	0.356
10	0.733
10	0.2
10	0.2
10	0.2
10	0.2
10	0.2
10	0.378
10	0.378
10	0.378
10	0.2
10	0
10	0.511
10	0.378
10	0.511
10	0.533
10	0.644
10	0.378
10	0
10	0.2
10	0.533
10	0
10	0.644
10	0.2
10	0.533
10	0.378
10	0
10	0
10	0.2
10	0.378
10	0.511
10	0.2
10	0.2
10	0
10	0.2
10	0.2
10	0.2
10	0.511
10	0.511
10	0
10	0.533
10	0.533
10	0.356
10	0.2
10	0.533
10	0.2
10	0.356
10	0.378
10	0.2
10	0.533
10	0.6
10	0
10	0.378
10	0.2
10	0.533
10	0.2
10	0.378
10	0.2
10	0.2
10	0.511
10	0.2
10	0.667
10	0.2
10	0.378
10	0.778
10	0.378
10	0.2
10	0.533
10	0.2
10	0.667
10	0
10	0
10	0.2
10	0.2
10	0.667
10	0.533
10	0.2
10	0.378
10	0.378
10	0.533
10	0.378
10	0.2
10	0.511
10	0.378
10	0.2
10	0.2
10	0.2
10	0.378
10	0.2
10	0.756
10	0.2
10	0.356
10	0.2
10	0.2
10	0.533
10	0.667
10	0.667
10	0.378
10	0
10	0.533
10	0.533
10	0.2
10	0.644
20	0.516
20	0.447
20	0.279
20	0.442
20	0.195
20	0.189
20	0.437
20	0.516
20	0.632
20	0.368
20	0.442
20	0.632
20	0.195
20	0.1
20	0.1
20	0.432
20	0.442
20	0.442
20	0.195
20	0.368
20	0.368
20	0.284
20	0.284
20	0.284
20	0.1
20	0.1
20	0.368
20	0.584
20	0.442
20	0.195
20	0.284
20	0.279
20	0.516
20	0.279
20	0.284
20	0.195
20	0.363
20	0.1
20	0.368
20	0.589
20	0.368
20	0.442
20	0.521
20	0.368
20	0.363
20	0.363
20	0.284
20	0.521
20	0.442
20	0.521
20	0.447
20	0.284
20	0.189
20	0.516
20	0.368
20	0.368
20	0.516
20	0.195
20	0.363
20	0.574
20	0.505
20	0.363
20	0.447
20	0.195
20	0.279
20	0.284
20	0.284
20	0.368
20	0.447
20	0.1
20	0.363
20	0.195
20	0.363
20	0.505
20	0.1
20	0.363
20	0.447
20	0.363
20	0.195
20	0.574
20	0.195
20	0.363
20	0.579
20	0.447
20	0.368
20	0.447
20	0.442
20	0.516
20	0.368
20	0.442
20	0.363
20	0.279
20	0.368
20	0.279
20	0.1
20	0
20	0.284
20	0.195
20	0.284
20	0.363
20	0.195
20	0.363
20	0.368
20	0.447
20	0.363
20	0.1
20	0.447
20	0.442
20	0.279
20	0.279
20	0.442
20	0.511
20	0.284
20	0.189
20	0.195
20	0.437
20	0.568
20	0.284
20	0.284
20	0.189
20	0.195
20	0.484
20	0.195
20	0.511
20	0.353
20	0.363
20	0.584
20	0.195
20	0.363
20	0.521
20	0.647
20	0.284
20	0.368
20	0.442
20	0
20	0.195
20	0.574
20	0.284
20	0.437
20	0.284
20	0
20	0.1
20	0.442
20	0.584
20	0.195
20	0.632
20	0.195
20	0.368
20	0.368
20	0.284
20	0.195
20	0.368
20	0.442
20	0.284
20	0.442
20	0.368
20	0.505
20	0.584
20	0.368
20	0.579
20	0.284
20	0.284
20	0.437
20	0.584
20	0.1
20	0.1
20	0.516
20	0.363
20	0.284
20	0.521
20	0.368
20	0.284
20	0.1
20	0.195
20	0.447
20	0.447
20	0.195
20	0.442
20	0.442
20	0.284
20	0.284
20	0.353
20	0.195
20	0.521
20	0.284
20	0.189
20	0.195
20	0.368
20	0.447
20	0.363
20	0.195
20	0.642
20	0.568
20	0.489
20	0.442
20	0.447
20	0.284
20	0.1
20	0.1
20	0.279
20	0.363
20	0.363
20	0.368
20	0.195
20	0.195
20	0.284
20	0.284
20	0.195
20	0.353
20	0.279
20	0.363
20	0.368
20	0.442
20	0.511
20	0.516
20	0.368
20	0.505
20	0.284
20	0.363
20	0.195
20	0.284
20	0.195
20	0.279
20	0.521
20	0.279
20	0.5
20	0.511
20	0.195
20	0.442
20	0.279
20	0.358
20	0.284
20	0.1
20	0.279
20	0.516
20	0.574
20	0.521
20	0.632
20	0.447
20	0.447
20	0.284
20	0.516
20	0.447
20	0.195
20	0.368
20	0.442
20	0.363
20	0.363
20	0.284
20	0.447
20	0.368
20	0.284
20	0.279
20	0.368
20	0.447
20	0.279
20	0.368
20	0.516
20	0.363
20	0.442
20	0.442
20	0.363
20	0.579
20	0.1
20	0.189
20	0.368
20	0.1
20	0.368
20	0.353
20	0.368
20	0.363
20	0.279
20	0.1
20	0.1
20	0.516
20	0.284
20	0.368
20	0.516
20	0.368
20	0.279
20	0.447
20	0.442
20	0.432
20	0.579
20	0.516
20	0.363
20	0.442
20	0.711
20	0.511
20	0.521
20	0.442
20	0.368
20	0.284
20	0.284
20	0.447
20	0.437
20	0.442
20	0.358
20	0.442
20	0.368
20	0.195
20	0.505
20	0.363
20	0.363
20	0.284
20	0.511
20	0.442
20	0.284
20	0.574
20	0.195
20	0.368
20	0.368
20	0.195
20	0.363
20	0.1
20	0.368
20	0
20	0.442
20	0.516
20	0.516
20	0.279
20	0.1
20	0.279
20	0.195
20	0.442
20	0.511
20	0.363
20	0.447
20	0.363
20	0.368
20	0.279
20	0.195
20	0.195
20	0.195
20	0.284
20	0.447
20	0.195
20	0.516
20	0.279
20	0.279
20	0.368
20	0.195
20	0.284
20	0.432
20	0.621
20	0.447
20	0.442
20	0.432
20	0.284
20	0.195
20	0.447
20	0.284
20	0.195
20	0.368
20	0.195
20	0.442
20	0.363
20	0.195
20	0.442
20	0.279
20	0.368
20	0
20	0.284
20	0.432
20	0.284
20	0.195
20	0.363
20	0.574
20	0.195
20	0.489
20	0.284
20	0.368
20	0.363
20	0.368
20	0.195
20	0.363
20	0.195
20	0.511
20	0.279
20	0.284
20	0.279
20	0.363
20	0.521
20	0.516
20	0.447
20	0.195
20	0.1
20	0.195
20	0.284
20	0.447
20	0.368
20	0.1
20	0.442
20	0.647
20	0.279
20	0.442
20	0.284
20	0.516
20	0.511
20	0.195
20	0.195
20	0.568
20	0.447
20	0.279
20	0.521
20	0.195
20	0.1
20	0.368
20	0.363
20	0.195
20	0.442
20	0.679
20	0.432
20	0.195
20	0.442
20	0.284
20	0.516
20	0.1
20	0.284
20	0.489
20	0.284
20	0.511
20	0.442
20	0.284
20	0.195
20	0.195
20	0.279
20	0.516
20	0.284
20	0.363
20	0.195
20	0.363
20	0.195
20	0.521
20	0.568
20	0.442
20	0.284
20	0.363
20	0.284
20	0.579
20	0.584
20	0.505
20	0.511
20	0.368
20	0.284
20	0.368
20	0.574
20	0.195
20	0.358
20	0.437
20	0.195
20	0.195
20	0.511
20	0.189
20	0.284
20	0.447
20	0.442
20	0.447
20	0.195
20	0.437
20	0.195
20	0
20	0.511
20	0.195
20	0.195
20	0.284
20	0.284
20	0.363
20	0.353
20	0.363
20	0.505
20	0.511
20	0.195
20	0.284
20	0.195
20	0.426
20	0.284
20	0.442
20	0.284
20	0.195
20	0.442
20	0.442
20	0.1
20	0.284
20	0.284
20	0.284
20	0.195
20	0.579
20	0.195
20	0.284
20	0.621
20	0.632
20	0.284
20	0.284
20	0.363
20	0.447
20	0.353
20	0.442
20	0.447
20	0.574
30	0.308
30	0.455
30	0.193
30	0.253
30	0.303
30	0.409
30	0.455
30	0.193
30	0.193
30	0.513
30	0.411
30	0.515
30	0.363
30	0.251
30	0.352
30	0.363
30	0.246
30	0.251
30	0.416
30	0.193
30	0.308
30	0.359
30	0.308
