POLYGON,DATE,TRANSECT,X,Y,COW,CALF,BULL,TOTAL ELK,N,Max Chart Size,DIST (m),TIME
Lake Pillsbury,2/17/2016,10,-122.99711,39.51124,0,0,1,1,1,1,180,
Lake Pillsbury,2/17/2016,11,-122.98927,39.48683,0,0,2,2,2,2,71,104824
Lake Pillsbury,2/17/2016,11,-122.98305,39.41128,0,0,13,13,13,12,196,105443
Lake Pillsbury,2/17/2016,12,-122.97859,39.44985,0,0,1,1,1,1,0,110400
Lake Pillsbury,2/17/2016,13,-122.96405,39.45037,0,0,5,5,5,5,375,111345
Lake Pillsbury,2/17/2016,15N,-122.95361,39.45439,0,0,9,9,9,9,300,113450
Lake Pillsbury,2/17/2016,15N,-122.94690,39.44169,34,13,4,51,51,12,77,113640
Lake Pillsbury,2/17/2016,15N,-122.95115,39.43858,28,11,1,40,40,12,208,113640
Lake Pillsbury,2/17/2016,19,-122.90899,39.45122,0,0,9,9,9,9,293,120115
POTTER VALLEY,2/17/2016,23,-122.98940,39.20125,3,0,0,3,3,3,128,140128
POTTER VALLEY,2/17/2016,19,-123.03044,39.27180,0,0,1,1,1,1,400,144617
POTTER VALLEY,2/17/2016,19,-123.02307,39.24896,0,0,1,1,1,1,100,144617
POTTER VALLEY,2/17/2016,19,-123.01987,39.25167,0,0,1,1,1,1,500,144667
POTTER VALLEY,2/17/2016,19,-123.02644,39.21299,0,0,6,6,6,6,291,145352
POTTER VALLEY,2/17/2016,17,-123.04915,39.27180,14,6,2,22,22,12,152,151948
POTTER VALLEY,2/17/2016,17,-123.04605,39.27328,9,4,1,14,14,12,150,151948
POTTER VALLEY,2/17/2016,17,-123.04390,39.26983,0,0,2,2,2,2,0,151948
POTTER VALLEY,2/17/2016,17,-123.04092,39.25121,0,0,2,2,2,2,450,152429
POTTER VALLEY,2/17/2016,17,-123.04663,39.25201,0,0,3,3,3,3,580,152737
POTTER VALLEY,2/17/2016,17,-123.04232,39.24362,0,0,1,1,1,1,0,152940
POTTER VALLEY,2/17/2016,17,-123.04700,39.22346,0,0,3,3,3,3,500,153220
POTTER VALLEY,2/18/2016,6,-123.14393,39.22424,4,0,2,6,6,6,104,1010
POTTER VALLEY,2/18/2016,9,-123.12202,39.30219,10,4,1,15,15,12,152,1100
POTTER VALLEY,2/18/2016,9,-123.11531,39.29056,9,3,2,14,14,12,400,1102
POTTER VALLEY,2/18/2016,9,-123.11272,39.29199,14,3,0,17,17,12,475,1102
POTTER VALLEY,2/18/2016,9,-123.11733,39.23616,3,2,1,6,6,6,0,1109
POTTER VALLEY,2/18/2016,11,-123.10138,39.23660,26,8,3,37,37,12,205,1120
POTTER VALLEY,2/18/2016,11,-123.09846,39.23690,7,1,1,9,9,9,172,1120
POTTER VALLEY,2/18/2016,10,-123.11249,39.25604,4,0,0,4,4,4,112,1130
POTTER VALLEY,2/18/2016,10,-123.11594,39.25129,5,2,1,8,8,8,600,1132
POTTER VALLEY,2/18/2016,10,-123.11060,39.24604,2,0,0,2,2,2,400,1132
POTTER VALLEY,2/18/2016,12,-123.08858,39.25726,26,4,2,32,32,12,240,1143
