ID	Sp	Lat	Lon
S12-0394	blacktaildeer	39.62778	-122.98923
S12-0395	blacktaildeer	39.74803	-122.89368
S12-0396	blacktaildeer	39.74660	-122.88782
S12-0397	blacktaildeer	39.58350	-122.90681
S12-0398	blacktaildeer	39.79056	-122.93521
S12-0399	blacktaildeer	39.59139	-122.89710
S12-0400	blacktaildeer	39.79019	-122.93599
S12-0401	blacktaildeer	39.69913	-122.94298
S12-0402	blacktaildeer	39.58003	-122.93698
S12-0403	blacktaildeer	39.73153	-122.85786
S12-0404	blacktaildeer	39.73719	-122.86015
S12-0405	blacktaildeer	39.58001	-122.92086
S12-0406	blacktaildeer	39.72456	-122.79636
S12-0407	blacktaildeer	39.60516	-122.93191
S12-0408	blacktaildeer	39.63253	-122.95741
S12-0409	blacktaildeer	39.74652	-122.88874
S12-0410	blacktaildeer	39.73788	-122.85941
S12-0412	blacktaildeer	39.75127	-122.89389
S12-0413	blacktaildeer	39.71776	-122.90054
S12-0414	blacktaildeer	39.71861	-122.86569
S12-0415	blacktaildeer	39.73132	-122.85678
S12-0418	blacktaildeer	39.59624	-122.95917
S12-0734	blacktaildeer	39.63522	-122.98242
S12-0735	blacktaildeer	39.79209	-122.93469
S12-0736	blacktaildeer	39.74781	-122.87201
S12-0737	blacktaildeer	39.58792	-122.88843
S12-0738	blacktaildeer	39.78254	-122.92153
S12-0739	blacktaildeer	39.60077	-122.78694
S12-0740	blacktaildeer	39.76556	-122.90584
S12-0741	blacktaildeer	39.69314	-122.96729
S12-0742	blacktaildeer	39.65446	-122.80501
S12-0743	blacktaildeer	39.76506	-122.90668
S12-0744	blacktaildeer	39.65520	-122.82758
S12-0745	blacktaildeer	39.71696	-122.86805
S12-0746	blacktaildeer	39.61713	-122.95016
S12-0747	blacktaildeer	39.75344	-122.92900
S12-0748	blacktaildeer	39.76342	-122.90165
S12-0749	blacktaildeer	39.65520	-122.82758
S12-0750	blacktaildeer	39.71683	-122.86783
S12-0751	blacktaildeer	39.59440	-122.96507
S12-0752	blacktaildeer	39.73945	-122.85938
S12-0753	blacktaildeer	39.69729	-122.80132
S12-0754	blacktaildeer	39.59153	-122.90297
S12-0755	blacktaildeer	39.78693	-122.93054
S12-0756	blacktaildeer	39.58984	-122.89590
S12-0757	blacktaildeer	39.75822	-122.90668
S12-0758	blacktaildeer	39.58792	-122.88843
S12-0759	blacktaildeer	39.67325	-122.98689
S12-0760	blacktaildeer	39.70307	-122.80744
S12-0761	blacktaildeer	39.75344	-122.92900
S12-0762	blacktaildeer	39.59428	-122.96378
S12-0763	blacktaildeer	39.58744	-122.88828
S12-0764	blacktaildeer	39.59011	-122.90174
S12-0765	blacktaildeer	39.59345	-122.96880
S12-0766	blacktaildeer	39.65228	-122.98962
S12-0767	blacktaildeer	39.59343	-122.96880
S12-0768	blacktaildeer	39.58371	-122.94410
S12-0769	blacktaildeer	39.58187	-122.85368
S12-0770	blacktaildeer	39.58988	-122.95383
S12-0771	blacktaildeer	39.70337	-122.84595
S12-0988	blacktaildeer	39.63213	-122.96143
S12-0989	blacktaildeer	39.63245	-122.96147
S12-0990	blacktaildeer	39.63561	-122.96272
S12-0991	blacktaildeer	39.63624	-122.96312
S12-0992	blacktaildeer	39.63624	-122.96312
S12-0993	blacktaildeer	39.63736	-122.96214
S12-0994	blacktaildeer	39.63786	-122.96181
S12-0995	blacktaildeer	39.63851	-122.96269
S12-0996	blacktaildeer	39.65177	-122.94844
S12-0997	blacktaildeer	39.65197	-122.94854
S12-0998	blacktaildeer	39.65221	-122.94808
S12-0999	blacktaildeer	39.65224	-122.94798
S12-1000	blacktaildeer	39.65308	-122.94849
S12-1001	blacktaildeer	39.65405	-122.94884
S12-1002	blacktaildeer	39.65400	-122.94887
S12-1003	blacktaildeer	39.63573	-122.96319
S12-1151	blacktaildeer	39.64475	-122.82538
S12-1152	blacktaildeer	39.58529	-122.90839
S12-1153	blacktaildeer	39.71514	-122.87918
S12-1154	blacktaildeer	39.64746	-122.80175
S12-1155	blacktaildeer	39.64746	-122.80175
S12-1156	blacktaildeer	39.58109	-122.79272
S12-1456	blacktaildeer	39.73827	-122.82933
S12-1457	blacktaildeer	39.73811	-122.82892
S12-1458	blacktaildeer	39.73811	-122.82892
S12-1459	blacktaildeer	39.73810	-122.82886
S12-1460	blacktaildeer	39.73807	-122.82870
S12-1461	blacktaildeer	39.73807	-122.82870
S12-1462	blacktaildeer	39.73782	-122.82853
S12-1463	blacktaildeer	39.73787	-122.82848
S12-1464	blacktaildeer	39.73787	-122.82848
S12-1465	blacktaildeer	39.73792	-122.82783
S12-1466	blacktaildeer	39.73790	-122.82757
S12-1467	blacktaildeer	39.73783	-122.82735
S12-1468	blacktaildeer	39.73780	-122.82706
S12-1469	blacktaildeer	39.73742	-122.82661
S12-1470	blacktaildeer	39.73718	-122.82616
S12-1471	blacktaildeer	39.73704	-122.82601
