Cell	Lat	Long
15-C	35.74274	-121.31427
15-E	35.7067	-121.30597
19-I	35.59202	-121.1124
24-X	35.28802	-120.87792
24-Z	35.25544	-120.88787
25-U	35.35566	-120.82506
26-R	35.41143	-120.80085
27-Q	35.42717	-120.7482
27-U	35.35243	-120.75336
28-T	35.37399	-120.68648
30-R	35.42164	-120.59077
30-T	35.37255	-120.60715
30-V	35.33535	-120.58752
30-Z	35.24731	-120.58469
31-S	35.39135	-120.59269
31-U	35.35793	-120.56133
31-W	35.31119	-120.55105
32-R	35.42399	-120.50694
32-V	35.34167	-120.51039
33-AA	35.23337	-120.46414
33-U	35.35365	-120.46612
33-Y	35.27573	-120.46835
34-T	35.36828	-120.41879
34-V	35.32894	-120.42814
35-CC	35.18249	-120.36837
35-EE	35.14024	-120.3771
35-Q	35.4372	-120.3794
35-S	35.39675	-120.36391
35-U	35.35265	-120.37429
36-DD	35.16204	-120.33089
36-HH	35.07159	-120.32314
36-P	35.4645	-120.32603
36-R	35.41869	-120.33641
36-V	35.32547	-120.3139
37-EE	35.13308	-120.27577
37-S	35.39999	-120.28214
37-U	35.35789	-120.27753
37-W	35.32931	-120.26841
37-Y	35.26658	-120.27902
38-BB	35.20875	-120.23558
38-DD	35.16022	-120.23368
38-T	35.36908	-120.24606
38-V	35.32959	-120.24029
39-CC	35.18533	-120.18643
39-II	35.06231	-120.21709
40-DD	35.15189	-120.1387
40-FF	35.11871	-120.14915
40-HH	35.06929	-120.15968
40-Z	35.24385	-120.15491
41-AA	35.22541	-120.09866
42-DD	35.15145	-120.05725
42-FF	35.12504	-120.04073
42-Z	35.24795	-120.05286
43-AA	35.27333	-120.01609
43-CC	35.18425	-120.00644
43-EE	35.1448	-120.01657
43-GG	35.08516	-120.013
