Cell	Long	Lat
15-C	-121.31427	35.74274
15-E	-121.30597	35.7067
19-I	-121.1124	35.59202
24-X	-120.87792	35.28802
24-Z	-120.88787	35.25544
25-U	-120.82506	35.35566
26-R	-120.80085	35.41143
27-Q	-120.7482	35.42717
27-U	-120.75336	35.35243
28-T	-120.68648	35.37399
30-R	-120.59077	35.42164
30-T	-120.60715	35.37255
30-V	-120.58752	35.33535
30-Z	-120.58469	35.24731
31-S	-120.59269	35.39135
31-U	-120.56133	35.35793
31-W	-120.55105	35.31119
32-R	-120.50694	35.42399
32-V	-120.51039	35.34167
33-AA	-120.46414	35.23337
33-U	-120.46612	35.35365
33-Y	-120.46835	35.27573
34-T	-120.41879	35.36828
34-V	-120.42814	35.32894
35-CC	-120.36837	35.18249
35-EE	-120.3771	35.14024
35-Q	-120.3794	35.4372
35-S	-120.36391	35.39675
35-U	-120.37429	35.35265
36-DD	-120.33089	35.16204
36-HH	-120.32314	35.07159
36-P	-120.32603	35.4645
36-R	-120.33641	35.41869
36-V	-120.3139	35.32547
37-EE	-120.27577	35.13308
37-S	-120.28214	35.39999
37-U	-120.27753	35.35789
37-W	-120.26841	35.32931
37-Y	-120.27902	35.26658
38-BB	-120.23558	35.20875
38-DD	-120.23368	35.16022
38-T	-120.24606	35.36908
38-V	-120.24029	35.32959
39-CC	-120.18643	35.18533
39-II	-120.21709	35.06231
40-DD	-120.1387	35.15189
40-FF	-120.14915	35.11871
40-HH	-120.15968	35.06929
40-Z	-120.15491	35.24385
41-AA	-120.09866	35.22541
42-DD	-120.05725	35.15145
42-FF	-120.04073	35.12504
42-Z	-120.05286	35.24795
43-AA	-120.01609	35.27333
43-CC	-120.00644	35.18425
43-EE	-120.01657	35.1448
43-GG	-120.013	35.08516
10-bb	-121.53468	36.03151
10-J	-121.5507	36.39257
10-L	-121.54124	36.37312
10-P	-121.54879	36.27023
10-Z	-121.54587	36.05961
11-aa	-121.48407	36.04276
11-cc	-121.48557	35.99841
11-Q	-121.49229	36.23247
11-S	-121.49444	36.2162
11-W	-121.49222	36.14262
12-bb	-121.44192	36.01208
12-dd	-121.44212	35.97498
12-ff	-121.43497	35.92538
12-hh	-121.43637	35.88914
12-X	-121.44151	36.10531
13-cc	-121.3946	36.00441
13-GG	-121.38315	35.92907
13-ii	-121.38891	35.87579
13-Q	-121.41282	36.25023
13-Y	-121.39857	36.08625
14-bb	-121.33524	36.00565
14-dd	-121.34956	35.97511
14-jj	-121.34029	35.86592
14-Z	-121.35148	36.07176
15-ee	-121.30416	35.94692
15-gg	-121.30518	35.91116
15-ii	-121.29478	35.8462
15-Y	-121.30284	36.08025
16-hh	-121.25556	35.89085
16-jj	-121.26131	35.84215
17-kk	-121.22699	35.82379
20-bb	-121.07847	36.01352
22-dd	-120.9885	35.98056
21-ee	-121.0009	35.95076
25-ii	-120.83588	35.88926
27-MM	-120.731	35.7951
2-D	-121.91506	36.52765
3-E	-121.86854	36.50949
3-G	-121.87937	36.47345
3-K	-121.86705	36.37549
3-O	-121.84606	36.28995
4-F	-121.82206	36.48908
4-H	-121.82426	36.44679
4-L	-121.81384	36.35955
4-P	-121.8175	36.27286
5-E	-121.77041	36.51046
5-G	-121.76852	36.47133
5-I	-121.78497	36.42388
5-M	-121.79133	36.3329
5-Q	-121.77702	36.24904
6-B	-121.73295	36.58427
6-H	-121.72958	36.44767
6-J	-121.73137	36.40201
6-R	-121.72977	36.22557
7-A	-121.68694	36.59962
7-C	-121.68856	36.5619
7-K	-121.66861	36.38916
7-S	-121.67599	36.20973
7-U	-121.67348	36.1641
8-B	-121.64079	36.58846
8-D	-121.62311	36.55033
8-F	-121.63902	36.51617
8-T	-121.64029	36.17945
9-aa	-121.57555	36.04193
9-M	-121.58173	36.34107
9-O	-121.57043	36.30628
9-Q	-121.57853	36.27068
9-Y	-121.58494	36.07194
