Sample	Long	Lat
MUS170	-74.005973	40.714353
MUS183	-121.238622	61.683718
MUS144	-87.843115	41.879198
MUS148	-87.843115	41.879198
MUS60	-85.587229	42.291707
MUS169	-93.26667	44.983334
MUS158	-70.339087	41.672928
MUS24	-95.557206	38.005587
MUS25	-95.557207	38.005587
MUS140	-97.133345	33.625941
MUS141	-97.133346	33.625941
MUS57	-96.961514	40.625217
MUS58	-96.961514	40.625217
MUS73	-96.961514	40.625217
MUS188	-79.79984	43.30771
MUS178	-156.4811111	71.3875
MUS181	-156.4811111	71.3875
MUS182	-156.4811111	71.3875
MUS139	-97.27527	28.305284
MUS184	-76.21025	43.090298
MUS171	-96.32487	41.223883
MUS149	-95.908501	45.000885
MUS190	-97.524724	26.128497
MUS186	-84.082012	9.927128
MUS176	-84.082012	9.927128
MUS35	-84.082012	9.927128
MUS36	-84.082012	9.927128
MUS175	-70.099451	41.28347
MUS155	-84.082012	9.927128
MUS37	-94.897699	29.305514
MUS179	-94.164964	58.768411
MUS180	-94.164964	58.768411
MUS172	-71.312828	41.490102
MUS173	-97.524724	26.128497
MUS159	-99.205727	48.362541
MUS161	-99.205727	48.362541
MUS150	-99.205727	48.362541
MUS3	-96.681679	40.806862
MUS166	-70.877275	42.812591
MUS151	-70.860598	42.841723
MUS167	-70.877275	42.812591
MUS156	9.866027	50.946353
MUS165	-97.396381	27.800583
MUS163	-97.396381	27.800583
MUS162	-97.6114	38.8403
MUS164	-97.6114	38.8403
MUS154	-97.6114	38.8403
MUS143	-97.6114	38.8403
MUS147	-97.6114	38.8403
MUS152	-70.865507	42.890962
MUS5	-96.527643	40.912829
MUS146	-97.685552	28.254172
MUS142	-97.685552	28.254172
MUS189	-97.685	28.254
MUS138	-97.497486	25.901747
MUS4	-96.68168	40.806862
MUS6	-96.681681	40.806862
MUS7	-96.681682	40.806862
MUS160	-96.767804	46.873765
MUS50	-97.5	25.89999962
MUS129	-144.857826	70.018894
MUS128	-144.857826	70.018894
MUS125	-144.857826	70.018894
MUS134	-115.987335	34.627258
MUS135	-97.497484	25.901747
MUS136	-97.497485	25.901747
MUS127	-141.292778	69.688889
MUS124	-141.292778	69.688889
MUS123	-141.292778	69.688889
MUS126	-141.292778	69.688889
MUS9	-96.681683	40.806862
MUS10	-96.681684	40.806862
MUS8	-96.681685	40.806862
MUS187	-57.841006	-22.646227
MUS20	-95.080556	39.641667
MUS133	-97.396381	27.800583
MUS132	-97.396381	27.800583
MUS130	-97.396381	27.800583
MUS131	-97.396381	27.800583
MUS53	-111.910829	54.76197
MUS61	-111.91083	54.76197
MUS122	-112.526342	53.453971
MUS137	-112.526343	53.453971
MUS120	-112.526346	53.453971
MUS70	-112.526347	53.453971
MUS52	-97.4166641235	48.41666794
MUS121	-112.526344	53.453971
MUS119	-112.526345	53.453971
MUS51	-97.4166641235	48.41666794
MUS118	-78.060303	-1.506472
MUS117	-78.060303	-1.506472
MUS79	-97.5	25.89999962
MUS54	-84.4499969482	45.65000153
MUS77	-111.910831	54.76197
MUS59	-111.910832	54.76197
MUS62	-111.910833	54.76197
MUS74	-156.7886111	71.2905556
MUS80	-95.9666671753	28.68333244
MUS71	-94.164964	58.768411
MUS55	-94.164964	58.768411
MUS56	-94.164964	58.768411
MUS72	-94.164964	58.768411
MUS75	-87.2166671753	30.41666603
MUS101	-94.164964	58.768411
MUS102	-94.164964	58.768411
MUS76	-90.0833358765	29.95000076
MUS63	-154.170278	56.945556
MUS64	-154.170278	56.945556
MUS65	-156.7886111	71.2905556
MUS66	-156.7886111	71.2905556
MUS68	-156.7886111	71.2905556
MUS69	-156.7886111	71.2905556
MUS78	-156.7886111	71.2905556
MUS67	-156.7886111	71.2905556
MUS219	-156.4811111	71.3875
MUS220	-156.4811111	71.3875
MUS221	-156.4811111	71.3875
MUS21	-95.23525	38.971669
MUS22	-95.23525	38.971669
MUS26	-95.23525	38.971669
MUS222	-156.4811111	71.3875
MUS82	-81.598576	41.007728
MUS83	-81.598576	41.007728
MUS84	-96.846114	33.911212
MUS85	-96.846115	33.911212
MUS86	-96.846116	33.911212
MUS87	-96.846117	33.911212
MUS98	-96.846118	33.911212
MUS99	-96.846119	33.911212
MUS191	-156.7886111	71.2905556
MUS192	-156.7886111	71.2905556
MUS193	-156.7886111	71.2905556
MUS194	-156.7886111	71.2905556
MUS195	-156.7886111	71.2905556
MUS207	-156.7886111	71.2905556
MUS208	-164.17921	68.75094
MUS90	-81.598576	41.007728
MUS91	-81.598576	41.007728
MUS88	-81.598576	41.007728
MUS89	-81.598576	41.007728
MUS209	-156.7886111	71.2905556
MUS210	-166.808056	68.347778
MUS92	-81.598576	41.007728
MUS93	-81.598576	41.007728
MUS104	-101.934659	68.724759
MUS105	-101.934659	68.724759
MUS107	-101.934659	68.724759
MUS111	-101.934659	68.724759
MUS112	-101.934659	68.724759
MUS113	-101.934659	68.724759
MUS114	-101.934659	68.724759
MUS115	-101.934659	68.724759
MUS116	-101.934659	68.724759
MUS94	-81.598576	41.007728
MUS95	-81.598576	41.007728
MUS96	-81.598576	41.007728
MUS103	-81.598576	41.007728
MUS97	-81.598576	41.007728
MUS106	-101.934659	68.724759
MUS108	-101.934659	68.724759
MUS109	-101.934659	68.724759
MUS110	-101.934659	68.724759
MUS81	-84.815183	46.485695
MUS27	-98.655912	38.469456
MUS23	-95.23525	38.971669
MUS211	-156.7886111	71.2905556
MUS196	-57.2134	-37.3204
MUS197	-57.2134	-37.3204
MUS198	-57.2134	-37.3204
MUS199	-57.2134	-37.3204
MUS200	-57.2134	-37.3204
MUS201	-57.2134	-37.3204
MUS202	-57.2134	-37.3204
MUS203	-57.2134	-37.3204
MUS204	-57.2134	-37.3204
MUS205	-57.2134	-37.3204
MUS206	-57.2134	-37.3204
MUS212	-57.2134	-37.3204
MUS213	-57.2134	-37.3204
MUS214	-57.2134	-37.3204
MUS215	-57.2134	-37.3204
MUS216	-57.2134	-37.3204
MUS217	-57.2134	-37.3204
MUS218	-57.2134	-37.3204
MUS28	-95.696034	38.885694
MUS17	-78.110828	-0.737123
MUS19	-76.999834	-11.975471
MUS15	-156.481111	71.3875
MUS16	-156.481111	71.3875
MUS14	-74.217933	-4.232473
MUS11	-86.036388	12.167852
MUS12	-86.036389	12.167852
