ID	latN	LongE
BB1	70.231900	-148.255630
BB2	70.234780	-148.255650
BB3	70.230650	-148.252610
BB4	70.230090	-148.256900
BB5	70.233960	-148.232070
BB6	70.231770	-148.235660
BB7	70.231900	-148.236040
BB8	70.231580	-148.236430
BB9	70.232060	-148.236800
BB10	70.232090	-148.236800
BB11	70.232190	-148.237150
BB12	70.230520	-148.257340
BB13	70.230120	-148.253560
BB14	70.230470	-148.256200
BB15	70.231290	-148.258800
BB16	70.228190	-148.256760
BB17	70.228760	-148.257080
BB18	70.232600	-148.235210
BB21	70.233110	-148.236680
BB22	70.232640	-148.236980
BB23	70.232610	-148.236980
BB24	70.231140	-148.234770
BB25	70.233600	-148.232890
BB26	70.233970	-148.233400
BB27	70.233960	-148.233380
BB28	70.231630	-148.231870
BB29	70.230460	-148.258030
BB30	70.229510	-148.258210
BB31	70.228230	-148.257390
BB32	70.199660	-148.304110
BB33	70.226070	-148.259510
BB34	70.200890	-148.307460
BB35	70.201640	-148.311770
BB36	70.241800	-148.104770
BB39	70.350870	-148.639720
BB40	71.294250	-156.645140
BB41	71.241210	-156.554570
BB42	71.243300	-156.551380
BB43	70.272133	-148.544267
BB44	70.225400	-148.264433
BB45	70.223950	-148.253283
BB46	70.226083	-148.256483
BB47	70.231267	-148.246833
BB48	70.229883	-148.243083
BB49	70.230750	-148.245217
BB50	70.230283	-148.246067
BB51	70.230283	-148.246067
BB52	70.229717	-148.246750
BB53	70.229983	-148.244383
BB54	70.223900	-148.257900
BB55	70.203800	-148.340900
BB56	70.226767	-148.255150
BB57	70.225867	-148.255433
BB58	70.225683	-148.260733
BB59	70.225700	-148.258383
BB60	70.228133	-148.257367
BB63	70.226100	-148.259283
BB64	70.212033	-148.280817
BB65	70.224517	-148.240800
BB66	70.222667	-148.243867
BB67	70.222667	-148.243117
BB68	70.222650	-148.245067
BB69 	70.218683	-148.245267
BB70 	70.219400	-148.247583
BB71	70.219400	-148.247583
BB72	70.232300	-148.256000
BB74	70.227483	-148.257867
BB75	70.227483	-148.257867
BB78	70.228583	-148.260217
BB79	70.226633	-148.262950
BB80	70.226633	-148.262950
BB81	70.111710	-145.800670
BB82	70.200420	-148.316470
BB83	70.197760	-148.318180
BB84	70.197400	-148.317570
BB85	70.196220	-148.314250
BB86	70.198520	-148.309100
BB87	70.196850	-148.309800
BB88	70.246190	-148.101290
BB89	70.246190	-148.101290
BB90	70.246190	-148.010290
BB91	70.246190	-148.010290
BB92	70.244580	-148.103000
BB93	70.245320	-148.102290
BB94	70.236970	-148.083420
BB95	70.272560	-148.549130
BB96	70.237750	-148.085100
BB97	71.261960	-156.528400
BB98	71.263260	-156.526030
BB99	71.290660	-156.648150
BB100	71.290690	-156.652540
BB101	71.243270	-156.539400
BB102	71.245290	-156.580490
BB103	71.292430	-156.644040
BB104	71.294820	-156.641470
BB105	71.290120	-156.650090
BB106	71.266010	-156.523110
BB107	71.243200	-156.572630
BB108	70.522910	-154.061270
BB109	70.366207	153.185623
BB110	70.367900	153.186439
BB111	70.353795	153.277694
BB112	70.373372	153.245309
BB114	70.068860	-145.881620
BB115	70.119630	-145.868710
BB116	70.119630	-145.868710
BB117	70.120260	-145.880460
BB118	70.102490	-145.864180
BB119	70.102490	-145.864180
BB120	70.119630	-145.867810
BB121	70.119630	-145.867810
BB122	70.104240	-145.854310
BB123	70.214133	-148.268817
BB195	71.224570	-156.242340
BB61a	70.235917	-148.243217
BB62b	70.235700	-148.245200
BFan	29.34	-94.32
BFwal	32.3607	-95.848577
URAG	-34.41	-54.16
ARG	-30.43	-60.11
LP	-30.25	-50.96
TAIME	-32.59	-52.59
