Sample	Long	Lat
MUS187	-57.841006	-22.646227
MUS20	-95.080556	39.641667
MUS133	-97.396381	27.800583
MUS132	-97.396381	27.800583
MUS130	-97.396381	27.800583
MUS131	-97.396381	27.800583
MUS53	-111.910829	54.76197
MUS61	-111.91083	54.76197
MUS122	-112.526342	53.453971
MUS137	-112.526343	53.453971
MUS120	-112.526346	53.453971
MUS70	-112.526347	53.453971
MUS52	-97.4166641235	48.41666794
MUS121	-112.526344	53.453971
MUS119	-112.526345	53.453971
MUS51	-97.4166641235	48.41666794
MUS118	-78.060303	-1.506472
MUS117	-78.060303	-1.506472
MUS79	-97.5	25.89999962
MUS54	-84.4499969482	45.65000153
MUS77	-111.910831	54.76197
MUS59	-111.910832	54.76197
MUS62	-111.910833	54.76197
MUS74	-156.7886111	71.2905556
MUS80	-95.9666671753	28.68333244
MUS71	-94.164964	58.768411
MUS55	-94.164964	58.768411
MUS56	-94.164964	58.768411
MUS72	-94.164964	58.768411
MUS75	-87.2166671753	30.41666603
MUS101	-94.164964	58.768411
MUS102	-94.164964	58.768411
MUS76	-90.0833358765	29.95000076
MUS63	-154.170278	56.945556
MUS64	-154.170278	56.945556
MUS65	-156.7886111	71.2905556
MUS66	-156.7886111	71.2905556
MUS68	-156.7886111	71.2905556
MUS69	-156.7886111	71.2905556
MUS78	-156.7886111	71.2905556
MUS67	-156.7886111	71.2905556
MUS219	-156.4811111	71.3875
MUS220	-156.4811111	71.3875
MUS221	-156.4811111	71.3875
MUS21	-95.23525	38.971669
MUS22	-95.23525	38.971669
MUS26	-95.23525	38.971669
MUS222	-156.4811111	71.3875
MUS82	-81.598576	41.007728
MUS83	-81.598576	41.007728
MUS84	-96.846114	33.911212
MUS85	-96.846115	33.911212
MUS86	-96.846116	33.911212
MUS87	-96.846117	33.911212
MUS98	-96.846118	33.911212
MUS99	-96.846119	33.911212
MUS191	-156.7886111	71.2905556
MUS192	-156.7886111	71.2905556
MUS193	-156.7886111	71.2905556
MUS194	-156.7886111	71.2905556
MUS195	-156.7886111	71.2905556
MUS207	-156.7886111	71.2905556
MUS208	-164.17921	68.75094
