Sample	Long	Lat
MUS90	-81.598576	41.007728
MUS91	-81.598576	41.007728
MUS88	-81.598576	41.007728
MUS89	-81.598576	41.007728
MUS209	-156.7886111	71.2905556
MUS210	-166.808056	68.347778
MUS92	-81.598576	41.007728
MUS93	-81.598576	41.007728
MUS104	-101.934659	68.724759
MUS105	-101.934659	68.724759
MUS107	-101.934659	68.724759
MUS111	-101.934659	68.724759
MUS112	-101.934659	68.724759
MUS113	-101.934659	68.724759
MUS114	-101.934659	68.724759
MUS115	-101.934659	68.724759
MUS116	-101.934659	68.724759
MUS94	-81.598576	41.007728
MUS95	-81.598576	41.007728
MUS96	-81.598576	41.007728
MUS103	-81.598576	41.007728
MUS97	-81.598576	41.007728
MUS106	-101.934659	68.724759
MUS108	-101.934659	68.724759
MUS109	-101.934659	68.724759
MUS110	-101.934659	68.724759
MUS81	-84.815183	46.485695
MUS27	-98.655912	38.469456
MUS23	-95.23525	38.971669
MUS211	-156.7886111	71.2905556
MUS196	-57.2134	-37.3204
MUS197	-57.2134	-37.3204
MUS198	-57.2134	-37.3204
MUS199	-57.2134	-37.3204
MUS200	-57.2134	-37.3204
MUS201	-57.2134	-37.3204
MUS202	-57.2134	-37.3204
MUS203	-57.2134	-37.3204
MUS204	-57.2134	-37.3204
MUS205	-57.2134	-37.3204
MUS206	-57.2134	-37.3204
MUS212	-57.2134	-37.3204
MUS213	-57.2134	-37.3204
MUS214	-57.2134	-37.3204
MUS215	-57.2134	-37.3204
MUS216	-57.2134	-37.3204
MUS217	-57.2134	-37.3204
MUS218	-57.2134	-37.3204
MUS28	-95.696034	38.885694
