Sample	Long	Lat
MUS170	-74.005973	40.714353
MUS183	-121.238622	61.683718
MUS144	-87.843115	41.879198
MUS148	-87.843115	41.879198
MUS60	-85.587229	42.291707
MUS169	-93.26667	44.983334
MUS158	-70.339087	41.672928
MUS24	-95.557206	38.005587
MUS25	-95.557207	38.005587
MUS140	-97.133345	33.625941
MUS141	-97.133346	33.625941
MUS57	-96.961514	40.625217
MUS58	-96.961514	40.625217
MUS73	-96.961514	40.625217
MUS188	-79.79984	43.30771
MUS178	-156.4811111	71.3875
MUS181	-156.4811111	71.3875
MUS182	-156.4811111	71.3875
MUS139	-97.27527	28.305284
MUS184	-76.21025	43.090298
MUS171	-96.32487	41.223883
MUS149	-95.908501	45.000885
MUS190	-97.524724	26.128497
MUS186	-84.082012	9.927128
MUS176	-84.082012	9.927128
MUS35	-84.082012	9.927128
MUS36	-84.082012	9.927128
MUS175	-70.099451	41.28347
MUS155	-84.082012	9.927128
MUS37	-94.897699	29.305514
MUS179	-94.164964	58.768411
MUS180	-94.164964	58.768411
MUS172	-71.312828	41.490102
MUS173	-97.524724	26.128497
MUS159	-99.205727	48.362541
MUS161	-99.205727	48.362541
MUS150	-99.205727	48.362541
MUS3	-96.681679	40.806862
MUS166	-70.877275	42.812591
MUS151	-70.860598	42.841723
MUS167	-70.877275	42.812591
MUS156	9.866027	50.946353
MUS165	-97.396381	27.800583
MUS163	-97.396381	27.800583
MUS162	-97.6114	38.8403
MUS164	-97.6114	38.8403
MUS154	-97.6114	38.8403
MUS143	-97.6114	38.8403
MUS147	-97.6114	38.8403
MUS152	-70.865507	42.890962
MUS5	-96.527643	40.912829
MUS146	-97.685552	28.254172
MUS142	-97.685552	28.254172
MUS189	-97.685	28.254
MUS138	-97.497486	25.901747
MUS4	-96.68168	40.806862
MUS6	-96.681681	40.806862
MUS7	-96.681682	40.806862
MUS160	-96.767804	46.873765
MUS50	-97.5	25.89999962
MUS129	-144.857826	70.018894
MUS128	-144.857826	70.018894
MUS125	-144.857826	70.018894
MUS134	-115.987335	34.627258
MUS135	-97.497484	25.901747
MUS136	-97.497485	25.901747
MUS127	-141.292778	69.688889
MUS124	-141.292778	69.688889
MUS123	-141.292778	69.688889
MUS126	-141.292778	69.688889
MUS9	-96.681683	40.806862
MUS10	-96.681684	40.806862
MUS8	-96.681685	40.806862
