ID	Longitude	Latitude
S12-1600	-61.875	53.592505
S12-1608	-61.875	53.592505
S12-1607	-61.875	53.592505
S12-0244	76.113281	68.334376
S12-0241	76.113281	68.334376
S12-0237	76.113281	68.334376
S08-0436	-1.40625	53.067627
S08-0433	-4.108887	56.920997
S08-0428	-2.614746	51.467697
S10-0036	43.461914	32.731841
S10-0039	43.461914	32.731841
S14-1369	43.461914	32.731841
M1	-121.37146	40.643136
S12-1176	-107.237549	37.970185
S12-1162	-148.337402	70.229744
S12-1163	-148.337402	70.229744
S12-0246	-121.739502	46.811339
S12-0650	-115.526733	35.151354
S12-0666	-115.526733	35.151354
