OriginalPopID	long	lat 	count
FurFarm	-53.667851	47.38378	75
South	-53.3010	47.388	29
Central	-57.11559	49.167	6
Central	-55.929	49.581	1
Central	-55.674	48.966	1
Central	-55.614	49.519	3
Central	-55.35	49.143	7
Central	-55.037	49.294	6
Central	-54.866	48.9967	5
Central	-54.60659	48.9473	4
North	-55.8477	52.2307	10
Historical	-56.994	53.698	1
Historical	-64.620	60.213	5
Historical	-60.243	55.460	1
Historical	-57.276	53.691	1
Historical	-61.926	53.908	1
Historical	-57.276	53.690	1
Historical	-56.994	53.697	1
Historical	-64.620	60.212	1
Historical	-64.350	53.430	1
