model	sex	year	expected	Low1	Up1
expected	Males	2010.9	0.213793103	0.064	0.076
expected	Females	2010.9	0.786206897	0.076	0.064
expected	Males	2011.9	0.30418251	0.055	0.059
expected	Females	2011.9	0.69581749	0.059	0.055
Cap	Males	2011	0.11790393	0.039	0.049
Cap	Females	2011	0.88209607	0.049	0.039
Cap	Males	2012	0.328205128	0.046	0.049
Cap	Females	2012	0.671794872	0.049	0.046
Mark	Males	2011.1	0.223529412	0.050	0.056
Mark	Females	2011.1	0.776470588	0.056	0.050
Mark	Males	2012.1	0.319559229	0.048	0.051
Mark	Females	2012.1	0.680440771	0.051	0.048
