taxon	Percent	nloci	f1loci	f2loci	nsites	npoly	poly
AF-0218ag	sub90	110994	30062	24946	2185934	3467	0.001586
AF-0218ae	sub90	100991	42309	38074	3340687	5246	0.0015703
AF-0218aa	sub90	187019	59430	55414	4864198	6918	0.0014222
AF-0218af	sub90	188925	59359	54934	4821544	7024	0.0014568
AF-0218ac	sub90	187574	59400	55287	4853514	7075	0.0014577
AF-0218ab	sub90	187517	59670	55553	4876531	7037	0.001443
AF-0218ad	sub90	189692	59613	54766	4806381	7109	0.0014791
AF-0218full	full90	266902	173093	163961	14426671	27464	0.0019037
AF-0218ag	sub96	311752	32115	29685	2603403	3477	0.0013356
AF-0218ae	sub96	301436	57749	55569	4877773	6121	0.0012549
AF-0218ad	sub96	276442	58929	57188	5020901	6216	0.001238
AF-0218af	sub96	270887	59065	57426	5042571	6307	0.0012508
AF-0218ac	sub96	258732	59500	58053	5098395	6626	0.0012996
AF-0218ab	sub96	259117	59618	58183	5109695	6476	0.0012674
AF-0218aa	sub96	260710	59579	58096	5101871	6416	0.0012576
AF-0218full	full96	682141	198945	194726	17130297	29815	0.0017405
