taxon	Percent	nloci	f1loci	f2loci	nsites	npoly	poly
AF-0105.R1	full90	205848	85761	79895	7020069	16443	0.0023423
AF-0155.R1	full90	182900	81260	75304	6614925	12595	0.001904
AF-0218.R1	full90	266902	173093	163961	14426671	27464	0.0019037
AF-0412.R1	full90	188090	86861	80894	7106064	13434	0.0018905
AF-0443.R1	full90	194113	109893	103630	9107562	14899	0.0016359
AF-0446.R1	full90	181605	69441	64581	5671612	8635	0.0015225
AF-0452.R1	full90	177930	62091	57483	5047433	9119	0.0018067
AF-0523.R1	full90	285149	153698	145483	12796499	28745	0.0022463
AF-0529.R1	full90	306147	155810	147623	12985351	29156	0.0022453
AF-0535.R1	full90	376805	146254	137964	12129445	25084	0.002068
AF-0538.R1	full90	264273	125891	119038	10465415	17948	0.001715
AF-0541.R1	full90	389424	164837	155613	13687214	31278	0.0022852
AF-0544.R1	full90	422230	136365	128372	11290298	22884	0.0020269
AF-055.R1	full90	540145	162838	151324	13311536	36456	0.0027387
AF-0598.R1	full90	466664	172140	161958	14248441	35247	0.0024737
AF-0601.R1	full90	320606	173430	164085	14436884	31898	0.0022095
AF-0602.R1	full90	566105	160646	149277	13131186	35370	0.0026936
AF-0603.R1	full90	238982	162523	154452	13585629	28069	0.0020661
AF-0777.R1	full90	294570	139621	132098	11614684	23712	0.0020416
AF-0793.R1	full90	926768	156253	146357	12871412	27537	0.0021394
AF-0796.R1	full90	847716	178754	167428	14731503	32569	0.0022108
AF-1009.R1	full90	302308	134637	127506	11214551	24992	0.0022285
AF-1025.R1	full90	363069	167062	157930	13893088	27159	0.0019549
AF-1031.R1	full90	294699	169438	160668	14135914	28047	0.0019841
AF-1034.R1	full90	556165	166029	154676	13605942	35408	0.0026024
AF-1044.R1	full90	467384	151451	142668	12546879	28168	0.002245
AF-1052.R1	full90	312679	96394	91047	8002094	15535	0.0019414
AF-1061.R1	full90	1630854	188490	170628	15004409	43947	0.0029289
AF-1071.R1	full90	469195	168967	157058	13816475	38044	0.0027535
AF-1079.R1	full90	520104	167377	153855	13535705	41421	0.0030601
AF-1109.R1	full90	457026	135141	127728	11232230	20813	0.001853
AF-1122.R1	full90	1411178	184356	170197	14970420	38988	0.0026043
AF-1184.R1	full90	1181982	165502	154560	13589157	28017	0.0020617
AF-8005.R1	full90	371347	133964	126482	11119580	20559	0.0018489
AF-8010.R1	full90	347341	152236	144134	12677781	26824	0.0021158
AF-8011.R1	full90	390697	144255	136331	11987325	26915	0.0022453
AF-8013.R1	full90	470713	168493	158810	13970776	26841	0.0019212
AF-8014.R1	full90	401943	132782	125682	11052026	20721	0.0018749
AF-8069.R1	full90	506345	161502	152494	13413641	27252	0.0020317
AF-0105.R1	full96	351466	92837	89940	7904602	15226	0.0019262
AF-0155.R1	full96	323161	88003	85178	7484043	12933	0.0017281
AF-0218.R1	full96	682141	198945	194726	17130297	29815	0.0017405
AF-0412.R1	full96	324509	92650	90040	7911236	13312	0.0016827
AF-0443.R1	full96	342802	117969	115259	10130840	15018	0.0014824
AF-0446.R1	full96	283078	71831	69832	6134616	8353	0.0013616
AF-0452.R1	full96	271837	63262	61363	5390017	8411	0.0015605
AF-0523.R1	full96	566383	173512	169948	14946655	30335	0.0020296
AF-0529.R1	full96	593821	175580	172182	15144199	30353	0.0020043
AF-0535.R1	full96	661160	160300	157049	13808291	23039	0.0016685
AF-0538.R1	full96	442006	137091	134153	11794854	18279	0.0015497
AF-0541.R1	full96	743302	186550	182470	16049532	30973	0.0019298
AF-0544.R1	full96	700825	151580	147427	12965055	24412	0.0018829
AF-055.R1	full96	967880	185774	179167	15759258	38472	0.0024412
AF-0598.R1	full96	928538	198186	193045	16981345	36558	0.0021528
AF-0601.R1	full96	728136	200223	195823	17226184	35263	0.0020471
AF-0602.R1	full96	1015900	182904	176256	15502918	37284	0.002405
AF-0603.R1	full96	505555	184177	180954	15915381	29372	0.0018455
AF-0777.R1	full96	534821	154054	150722	13251581	24027	0.0018131
AF-0793.R1	full96	1247230	174700	169633	14918456	29548	0.0019806
AF-0796.R1	full96	1348179	205802	200051	17598919	36506	0.0020743
AF-1009.R1	full96	566586	148326	145009	12753069	25566	0.0020047
AF-1025.R1	full96	717675	190774	186895	16438505	29023	0.0017655
AF-1031.R1	full96	658711	193087	189414	16662546	29943	0.001797
AF-1034.R1	full96	969218	188871	182545	16056384	37153	0.0023139
AF-1044.R1	full96	807073	169423	165076	14517580	27971	0.0019267
AF-1052.R1	full96	454057	100645	98043	8619161	13863	0.0016084
AF-1061.R1	full96	2184623	216519	203902	17932331	50454	0.0028136
AF-1071.R1	full96	928280	194224	187664	16506551	39979	0.002422
AF-1079.R1	full96	1004063	194119	185533	16319754	45439	0.0027843
AF-1109.R1	full96	683761	148040	144751	12728955	21391	0.0016805
AF-1122.R1	full96	1977630	211040	202109	17776737	42789	0.002407
AF-1184.R1	full96	1543863	183658	177757	15632061	29037	0.0018575
AF-8005.R1	full96	567411	146839	143629	12627651	21004	0.0016633
AF-8010.R1	full96	627748	171196	167624	14742608	28051	0.0019027
AF-8011.R1	full96	643333	159133	155679	13689845	25569	0.0018677
AF-8013.R1	full96	873998	193748	189045	16628019	29853	0.0017953
AF-8014.R1	full96	618844	144832	141530	12445498	21229	0.0017058
AF-8069.R1	full96	848905	183367	179302	15769636	29232	0.0018537
