ID	FurFarm	Wild
S14-0386	0.01	0.99
S14-0387	0.003	0.997
S14-0390	0.005	0.995
S14-0391	0.004	0.996
S14-0393	0.003	0.997
S14-0394	0.003	0.997
S14-0395	0.006	0.994
S14-0396	0.006	0.994
S14-0397	0.004	0.996
S14-0398	0.098	0.902
S14-0399	0.014	0.986
S14-0400	0.007	0.993
S14-0401	0.003	0.997
S14-0402	0.008	0.992
S14-0403	0.006	0.994
S14-0404	0.005	0.995
S14-0405	0.003	0.997
S14-0406	0.003	0.997
S14-0407	0.002	0.998
S14-0408	0.009	0.991
S14-0409	0.003	0.997
S14-0410	0.073	0.927
S14-0411	0.006	0.994
S14-0412	0.016	0.984
S14-0413	0.003	0.997
S14-0414	0.004	0.996
S14-0415	0.003	0.997
S14-0416	0.004	0.996
S14-0417	0.004	0.996
S14-0418	0.009	0.991
S14-0419	0.008	0.992
S14-0421	0.004	0.996
S14-0422	0.011	0.989
S14-0423	0.021	0.979
S14-0424	0.016	0.984
S14-0425	0.034	0.966
S14-0426	0.008	0.992
S14-0427	0.061	0.939
S14-0429	0.014	0.986
S14-0430	0.164	0.836
S14-0431	0.312	0.688
S14-0432	0.014	0.986
S14-0433	0.006	0.994
S15-0457	0.965	0.035
S15-0458	0.995	0.005
S15-0459	0.996	0.004
S15-0460	0.996	0.004
S15-0461	0.989	0.011
S15-0462	0.95	0.05
S15-0463	0.996	0.004
S15-0464	0.997	0.003
S15-0465	0.989	0.011
S15-0467	0.964	0.036
S15-0468	0.994	0.006
S15-0469	0.994	0.006
S15-0470	0.995	0.005
S15-0472	0.997	0.003
S15-0476	0.931	0.069
S15-0478	0.995	0.005
S15-0479	0.995	0.005
S15-0480	0.997	0.003
S15-0481	0.995	0.005
S15-0482	0.996	0.004
S15-0483	0.997	0.003
S15-0485	0.997	0.003
S15-0486	0.991	0.009
S15-0487	0.997	0.003
S15-0489	0.996	0.004
S15-0490	0.996	0.004
S15-0491	0.99	0.01
S15-0492	0.996	0.004
S15-0493	0.961	0.039
S15-0494	0.993	0.007
S15-0496	0.995	0.005
S15-0497	0.983	0.017
S15-0498	0.997	0.003
S15-0499	0.874	0.126
S15-0500	0.994	0.006
S15-0501	0.991	0.009
S15-0502	0.996	0.004
S15-0504	0.993	0.007
S15-0505	0.996	0.004
S15-0506	0.996	0.004
S15-0507	0.992	0.008
S15-0508	0.996	0.004
S15-0509	0.996	0.004
S15-0510	0.997	0.003
S15-0511	0.997	0.003
S15-0512	0.996	0.004
S15-0513	0.987	0.013
S15-0514	0.996	0.004
S15-0515	0.998	0.002
S15-0516	0.997	0.003
S15-0517	0.998	0.002
S15-0518	0.997	0.003
S15-0519	0.998	0.002
S15-0520	0.997	0.003
S15-0522	0.997	0.003
S15-0523	0.993	0.007
S15-0524	0.997	0.003
S15-0525	0.995	0.005
S15-0526	0.996	0.004
S15-0527	0.883	0.117
S15-0528	0.996	0.004
S15-0529	0.996	0.004
S15-0530	0.998	0.002
S15-0531	0.997	0.003
S15-0532	0.998	0.002
S15-0533	0.996	0.004
S15-0534	0.995	0.005
S15-0535	0.869	0.131
S15-0536	0.997	0.003
S15-0537	0.964	0.036
S15-0539	0.881	0.119
S15-0540	0.997	0.003
S15-0545	0.998	0.002
S15-0546	0.995	0.005
S15-0547	0.997	0.003
