ID	Non-Native	Native
H1	0.6836	0.3164
H2	0.6119	0.3881
H3	0.6506	0.3494
H4	0.4516	0.5484
H5	0.6279	0.3721
SJ1	1	0
SJ2	0.9969	0.0031
SJ3	0.9949	0.0051
SJ4	0.9742	0.0258
SJ5	0.9973	0.0027
SJ6	0.9989	0.0011
SJ7	0.9998	0.0002
SJ8	0.9992	0.0008
SJ9	0.9999	0.0001
SJ10	0.9985	0.0015
SJ11	0.9997	0.0003
SJ12	0.9984	0.0016
SJ13	0.9938	0.0062
SJ14	0.9998	0.0002
SJ15	0.9744	0.0256
SJ16	0.9994	0.0006
SJ17	0.9993	0.0007
SJ18	0.9984	0.0016
SJ19	0.9986	0.0014
SJ20	0.9996	0.0004
SJ21	0.9798	0.0202
SJ22	0.9995	0.0005
SJ23	0.9966	0.0034
SJ24	0.9999	0.0001
SJ25	0.9991	0.0009
SJ26	0.9983	0.0017
SJ27	0.4796	0.5204
SJ28	0.9991	0.0009
SJ29	0.9992	0.0008
SJ30	0.9523	0.0477
SJ31	0.9994	0.0006
SJ32	0.9988	0.0012
SJ33	0.9996	0.0004
SJ34	0.9974	0.0026
SJ35	0.9997	0.0003
SJ36	0.9982	0.0018
SV1	0.1616	0.8384
SV2	0.001	0.999
SV3	0	1
SV4	0.0001	0.9999
SV5	0	1
SV6	0.0052	0.9948
SV7	0.006	0.994
SV8	0	1
SV9	0.0057	0.9943
SV10	0.0028	0.9972
SV11	0.0007	0.9993
SV12	0.004	0.996
SV13	0.0006	0.9994
SV14	0.0001	0.9999
SV15	0.0054	0.9946
SV16	0.0001	0.9999
SV17	0.0018	0.9982
SV18	0.031	0.969
SV19	0.0016	0.9984
SV20	0.0116	0.9884
SV21	0.0003	0.9997
SV22	0.0016	0.9984
SV23	0.0003	0.9997
SV24	0.0303	0.9697
SV25	0.0898	0.9102
SV26	0	1
SV27	0.0001	0.9999
SV28	0.1468	0.8532
SV29	0.0004	0.9996
SV30	0.0549	0.9451
SV31	0.0029	0.9971
SV32	0.0015	0.9985
SV33	0.056	0.944
SV34	0.0014	0.9986
SV35	0.0003	0.9997
SV36	0.0001	0.9999
SV37	0.0008	0.9992
SV38	0.0039	0.9961
SV39	0.0001	0.9999
SV40	0.0018	0.9982
SV41	0.0067	0.9933
SV42	0.0007	0.9993
SV43	0.0001	0.9999
SV44	0.0003	0.9997
SV45	0.0005	0.9995
SV46	0.0376	0.9624
SV47	0.0002	0.9998
SV48	0.3953	0.6047
SV49	0.0004	0.9996
SV50	0.0016	0.9984
SV51	0.0009	0.9991
SV52	0.0001	0.9999
SV53	0.005	0.995
SV54	0.001	0.999
SV55	0.0047	0.9953
SV56	0.0012	0.9988
SV57	0.1728	0.8272
SV58	0.0048	0.9952
SV59	0.0002	0.9998
SV60	0.0031	0.9969
SV61	0.4754	0.5246
SV62	0.0002	0.9998
SV63	0.0009	0.9991
SV64	0.0003	0.9997
SV65	0.0087	0.9913
SV66	0.0006	0.9994
SV67	0.0011	0.9989
SV68	0.0001	0.9999
SV69	0.0264	0.9736
SV70	0.0004	0.9996
SV71	0.0001	0.9999
SV72	0.0003	0.9997
SV73	0.0053	0.9947
SV74	0.0136	0.9864
zRF01	0.0004	0.9996
zRF02	0.0016	0.9984
zRF05	0.0008	0.9992
zRF11	0.0103	0.9897
zRF13	0.0007	0.9993
zRF18	0.4638	0.5362
zRF21	1	0
zRF26	0.0006	0.9994
zRF28	0.0003	0.9997
zRF34	0.0001	0.9999
zRF35	0.004	0.996
zRF23	0.2378	0.7622
zRF39	0.0081	0.9919
zRF40	0.0003	0.9997
zRF41	0.4017	0.5983
zRF42	0.0088	0.9912
zRF43	0.0007	0.9993
zRF44	0.0003	0.9997
zRF45	0.0128	0.9872
zRF46	0.0102	0.9898
zRF47	0.001	0.999
zRF49	0.0021	0.9979
zRF50	0.0361	0.9639
zRF52	0.0027	0.9973
zRF53	0.0047	0.9953
zRF54	0.0001	0.9999
zRF55	0.0067	0.9933
zRF56	0.001	0.999
