ID	pop1	pop2	pop3	unk
1	0.003	0.993	0.003	0
2	0.039	0.956	0.004	0
3	0.006	0.991	0.003	0
4	0.008	0.986	0.006	0
5	0.003	0.993	0.003	0
6	0.003	0.994	0.003	0
7	0.003	0.995	0.002	0
8	0.002	0.996	0.002	0
9	0.002	0.996	0.002	0
10	0.066	0.822	0.112	0
11	0.004	0.992	0.004	0
12	0.028	0.964	0.008	0
13	0.005	0.992	0.003	0
14	0.004	0.994	0.003	0
15	0.004	0.993	0.004	0
16	0.007	0.98	0.012	0
17	0.045	0.949	0.006	0
18	0.004	0.993	0.003	0
19	0.003	0.995	0.002	0
20	0.01	0.97	0.02	0
21	0	0	0	0
22	0.006	0.991	0.003	0
23	0.005	0.991	0.004	0
24	0.005	0.992	0.003	0
25	0.003	0.993	0.004	0
26	0.02	0.8	0.179	0
27	0.004	0.99	0.006	0
28	0.004	0.993	0.003	0
29	0.003	0.994	0.003	0
30	0.004	0.993	0.002	0
31	0.004	0.993	0.003	0
32	0.003	0.994	0.003	0
33	0.003	0.995	0.002	0
34	0.009	0.982	0.009	0
35	0.002	0.996	0.002	0
36	0.004	0.99	0.006	0
37	0.012	0.981	0.007	0
38	0.004	0.994	0.002	0
39	0.005	0.992	0.003	0
40	0.016	0.959	0.026	0
41	0.003	0.991	0.006	0
42	0.145	0.847	0.007	0
43	0.006	0.977	0.017	0
44	0.006	0.989	0.005	0
45	0.004	0.994	0.002	0
46	0.003	0.993	0.004	0
47	0.007	0.989	0.004	0
48	0.004	0.993	0.003	0
49	0.003	0.995	0.003	0
50	0.004	0.993	0.003	0
51	0.011	0.984	0.005	0
52	0.004	0.993	0.003	0
53	0.002	0.995	0.003	0
54	0.003	0.994	0.003	0
55	0.002	0.995	0.003	0
56	0.003	0.994	0.003	0
57	0.003	0.994	0.003	0
58	0.006	0.989	0.005	0
59	0.003	0.994	0.003	0
60	0.006	0.99	0.004	0
61	0.004	0.993	0.003	0
62	0.004	0.992	0.004	0
63	0.003	0.994	0.002	0
64	0.002	0.997	0.002	0
65	0.003	0.993	0.004	0
66	0.002	0.995	0.003	0
67	0.004	0.991	0.004	0
68	0.11	0.847	0.043	0
69	0.003	0.995	0.002	0
70	0.036	0.95	0.015	0
71	0.113	0.846	0.041	0
72	0.003	0.993	0.004	0
73	0.002	0.997	0.002	0
74	0.005	0.993	0.002	0
75	0.003	0.995	0.002	0
76	0.984	0.005	0.011	0
77	0.964	0.002	0.033	0
78	0.88	0.095	0.025	0
79	0.984	0.006	0.01	0
80	0.919	0.009	0.072	0
81	0.951	0.006	0.043	0
82	0.952	0.003	0.046	0
83	0.985	0.003	0.012	0
84	0.976	0.003	0.021	0
85	0.954	0.002	0.044	0
86	0.905	0.007	0.088	0
87	0.989	0.005	0.005	0
88	0.981	0.002	0.016	0
89	0.983	0.007	0.009	0
90	0.969	0.003	0.028	0
91	0.987	0.009	0.004	0
92	0.956	0.036	0.008	0
93	0.937	0.042	0.02	0
94	0.827	0.161	0.013	0
95	0.983	0.013	0.005	0
96	0.991	0.005	0.003	0
97	0.98	0.003	0.017	0
98	0.976	0.013	0.01	0
99	0.944	0.002	0.054	0
100	0.992	0.002	0.006	0
101	0.92	0.003	0.076	0
102	0.986	0.004	0.01	0
103	0.967	0.019	0.014	0
104	0.674	0.316	0.011	0
105	0.99	0.003	0.007	0
106	0.946	0.002	0.051	0
107	0.986	0.005	0.009	0
108	0.769	0.007	0.223	0
109	0.985	0.004	0.011	0
110	0.937	0.006	0.057	0
111	0.891	0.004	0.105	0
112	0.985	0.004	0.011	0
113	0.572	0.036	0.392	0
114	0.981	0.014	0.005	0
115	0.978	0.003	0.019	0
116	0.979	0.007	0.014	0
117	0.979	0.009	0.012	0
118	0.984	0.013	0.003	0
119	0.008	0.002	0.99	0
120	0.018	0.016	0.966	0
121	0.027	0.003	0.969	0
122	0.008	0.003	0.988	0
123	0.004	0.003	0.993	0
124	0.013	0.002	0.985	0
125	0.013	0.005	0.982	0
126	0.011	0.004	0.986	0
127	0.022	0.003	0.975	0
128	0.041	0.006	0.953	0
129	0.018	0.016	0.966	0
130	0.004	0.003	0.993	0
131	0.004	0.002	0.993	0
132	0.104	0.01	0.887	0
133	0.007	0.004	0.989	0
134	0.045	0.002	0.953	0
135	0.004	0.002	0.994	0
136	0.003	0.002	0.994	0
137	0.024	0.002	0.974	0
138	0.007	0.004	0.989	0
139	0.005	0.003	0.993	0
140	0.006	0.003	0.991	0
141	0.04	0.003	0.957	0
142	0.012	0.006	0.982	0
143	0.102	0.02	0.878	0
144	0.006	0.003	0.991	0
145	0.004	0.003	0.993	0
146	0.976	0.006	0.018	0
147	0.979	0.007	0.014	0
