Site	Covered	Avg	Upper	Lower
1	13	25.35294118	36.51073914	14.19514321
2	14	37.76470588	53.09648421	22.43292756
3	14	43.23529412	60.66619822	25.80439001
4	14	48.70588235	67.56036966	29.85139505
5	14	49.76470588	68.8050748	30.72433697
6	14	50.35294118	69.49403693	31.21184542
7	14	51.23529412	70.48938269	31.98120555
8	14	51.94117647	71.39804001	32.48431294
9	15	53.41176471	73.18359241	33.63993701
10	15	54.70588235	74.74405235	34.66771236
11	15	55.23529412	75.51163009	34.95895814
12	15	56.05882353	76.51378039	35.60386666
13	15	56.88235294	77.5930314	36.17167448
14	15	57.82352941	78.71371526	36.93334356
15	15	59	80.19423937	37.80576063
16	15	59.58823529	80.92533844	38.25113215
17	15	60.11764706	81.59077359	38.64452052
18	15	61.35294118	83.10214124	39.60374111
19	15	62.35294118	84.21846474	40.48741761
20	15	62.76470588	84.74821404	40.78119772
21	15	64.41176471	86.76715655	42.05637286
22	15	65.35294118	87.82590443	42.87997793
23	15	66.17647059	88.85135776	43.50158341
24	15	66.82352941	89.59855892	44.0484999
25	15	67.82352941	90.73383134	44.91322748
26	15	68.76470588	91.96013367	45.5692781
27	15	69.58823529	92.965788	46.21068259
28	15	70.52941176	94.19699567	46.86182785
29	15	71.17647059	95.00978468	47.3431565
30	15	72.17647059	96.25490248	48.0980387
31	15	74	98.54235903	49.45764097
32	15	74.94117647	99.60794825	50.27440469
33	15	75.35294118	100.1215948	50.58428753
34	15	76.41176471	101.494134	51.32939542
35	15	77.17647059	102.5436016	51.8093396
36	15	77.70588235	103.2007838	52.2109809
37	15	78.41176471	104.132972	52.6905574
38	15	78.94117647	104.7394647	53.14288828
39	15	79.29411765	105.2210239	53.36721136
40	15	80.11764706	106.1917258	54.04356835
41	15	80.82352941	107.0119323	54.63512649
42	15	81.41176471	107.7476042	55.07592524
43	15	82.82352941	109.6022083	56.04485052
44	15	83.58823529	110.5365035	56.63996704
45	15	84.58823529	111.8241451	57.35232548
46	15	85.29411765	112.7631608	57.82507451
47	15	85.82352941	113.4425554	58.20450344
48	15	86.29411765	114.0215081	58.56672717
49	15	87.47058824	115.5716425	59.36953399
50	15	88.47058824	116.8935482	60.04762825
51	15	88.94117647	117.4783788	60.40397414
52	15	90.11764706	118.9876977	61.24759642
53	15	91.41176471	120.6052856	62.21824382
54	15	91.82352941	121.1325318	62.51452702
55	15	92.70588235	122.2549482	63.15681652
56	15	93.47058824	123.2544224	63.6867541
57	15	94.17647059	124.124257	64.22868422
58	15	94.70588235	124.7850608	64.62670386
59	15	95.70588235	125.8993718	65.51239291
60	15	96.23529412	126.5668963	65.90369192
61	15	97.88235294	128.4954427	67.26926313
62	15	99.52941176	130.6399438	68.41887968
63	15	100.2941176	131.4875287	69.10070662
64	15	100.8823529	132.2205221	69.54418379
65	15	102.1764706	133.76404	70.58890115
66	15	102.9411765	134.7950226	71.08733035
67	15	103.7647059	135.8075865	71.72182523
68	15	104.4705882	136.6810692	72.26010726
69	15	105.4705882	137.9974488	72.94372766
70	15	106.3529412	139.0093352	73.69654712
