Site	Covered	Avg	Upper	Lower
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0.046511628	0.108089575	-0.01506632
51	0	0.046511628	0.108089575	-0.01506632
52	0	0.046511628	0.108089575	-0.01506632
53	1	0.139534884	0.288518634	-0.009448866
54	1	0.162790698	0.316359632	0.009221763
55	3	0.279069767	0.509272562	0.048866973
56	3	0.372093023	0.632281957	0.11190409
57	3	0.418604651	0.687876723	0.149332579
58	4	0.604651163	0.950858112	0.258444213
59	5	0.744186047	1.20799394	0.280378153
60	5	0.813953488	1.315507528	0.312399449
61	5	0.88372093	1.441415883	0.326025978
62	5	1.046511628	1.701729671	0.391293585
63	7	1.348837209	2.151196891	0.546477528
64	7	1.627906977	2.575984982	0.679828971
65	10	1.906976744	2.956184512	0.857768977
66	12	2.488372093	3.810226863	1.166517323
67	12	2.906976744	4.470626084	1.343327404
68	12	3.255813953	4.995562084	1.516065823
69	13	4.348837209	6.769039899	1.92863452
70	13	4.511627907	7.044625508	1.978630306
71	13	5.069767442	7.886029956	2.253504928
72	13	5.697674419	8.860554165	2.534794672
73	13	6.093023256	9.452997697	2.733048815
74	13	6.837209302	10.5562244	3.118194208
